title,country,genre,director,actors
Гарри Поттер и Тайная комната,Великобритания, фэнтези,Крис Коламбус,"Дэниэл Рэдклифф, Руперт Гринт"
Алеша Попович и Тугарин Змей,Россия, мультфильм,Константин Бронзит,"Олег Куликович, Дмитрий Высоцкий"
Жизнь Дэвида Гейла,Великобритания, триллер,Алан Паркер,"Кевин Спейси, Кейт Уинслет"
12 лет рабства,Великобритания, драма,Стив МакКуин,"Чиветель Эджиофор, Майкл Фассбендер"
Дурак,Россия, драма,Юрий Быков,"Артём Быстров, Наталья Суркова"
Отель Мумбаи: Противостояние,США, боевик,Энтони Марас,"Арми Хаммер, Джейсон Айзекс"
"Артур, ты король",США, драма,Саймон Селлан Джонс,"Марк Уолберг, Симу Лю"
Безумный Макс: Дорога ярости,Австралия, боевик,Джордж Миллер,"Том Харди, Шарлиз Терон"
Молчание ягнят,США, триллер,Джонатан Демме,"Джоди Фостер, Энтони Хопкинс"
Ла-Ла Ленд,США, мюзикл,Дэмьен Шазелл,"Райан Гослинг, Эмма Стоун"
Адвокат дьявола,США, триллер,Тейлор Хэкфорд,"Киану Ривз, Аль Пачино"
По соображениям совести,США, биография,Мэл Гибсон,"Эндрю Гарфилд, Сэм Уортингтон"
Крестный отец 2,США, драма,Фрэнсис Форд Коппола,"Аль Пачино, Роберт Де Ниро"
Они сражались за Родину,СССР, драма,Сергей Бондарчук,"Василий Шукшин, Вячеслав Тихонов"
Чудо,США, драма,Стивен Чбоски,"Джейкоб Тремблей, Оуэн Уилсон"
Догвилль,Дания, триллер,Ларс фон Триер,"Николь Кидман, Пол Беттани"
Такси,Франция, боевик,Жерар Пирес,"Сами Насери, Фредерик Дифенталь"
12 разгневанных мужчин,США, драма,Сидни Люмет,"Генри Фонда, Мартин Болсам"
Король говорит!,США, драма,Том Хупер,"Колин Фёрт, Джеффри Раш"
Далласский клуб покупателей,США, драма,Жан-Марк Валле,"Мэттью Макконахи, Дженнифер Гарнер"
12 стульев,СССР, комедия,Леонид Гайдай,"Арчил Гомиашвили, Сергей Филиппов"
Искупление,Великобритания, драма,Джо Райт,"Кира Найтли, Джеймс Макэвой"
Небо,Россия, военный,Игорь Копылов,"Игорь Петренко, Иван Батарев"
Чужой,Великобритания, ужасы,Ридли Скотт,"Сигурни Уивер, Том Скеррит"
Страсти Христовы,США, драма,Мэл Гибсон,"Джеймс Кэвизел, Майя Моргенштерн"
Аватар,США, фантастика,Джеймс Кэмерон,"Сэм Уортингтон, Зои Салдана"
Гарри Поттер и Кубок огня,Великобритания, фэнтези,Майк Ньюэлл,"Дэниэл Рэдклифф, Руперт Гринт"
Билли Эллиот,Великобритания, драма,Стивен Долдри,"Джейми Белл, Джули Уолтерс"
Кин-дза-дза!,СССР, фантастика,Георгий Данелия,"Станислав Любшин, Евгений Леонов"
Опасная игра Слоун,США, драма,Джон Мэдден,"Джессика Честейн, Марк Стронг"
Мой Хатико,Китай, драма,Сюй Ан,"Фэн Сяоган, Хуан Сюн"
Холодное лето пятьдесят третьего...,СССР, драма,Александр Прошкин,"Валерий Приёмыхов, Анатолий Папанов"
Война,Россия, боевик,Алексей Балабанов,"Алексей Чадов, Иэн Келли"
Амели,Франция, мелодрама,Жан-Пьер Жёне,"Одри Тоту, Матьё Кассовиц"
Ворошиловский стрелок,Россия, драма,Станислав Говорухин,"Михаил Ульянов, Анна Синякина"
Укрась прощальное утро цветами обещания,Япония, аниме,Мари Окада,"Манака Ивами, Мию Ирино"
Отпуск по обмену,США, мелодрама,Нэнси Майерс,"Кэмерон Диас, Кейт Уинслет"
Невозможное,Испания, драма,Хуан Антонио Байона,"Наоми Уоттс, Юэн Макгрегор"
Пираты Карибского моря: Сундук мертвеца,США, фэнтези,Гор Вербински,"Джонни Депп, Орландо Блум"
Афоня,СССР, драма,Георгий Данелия,"Леонид Куравлёв, Евгения Симонова"
Назад в будущее 2,США, фантастика,Роберт Земекис,"Майкл Дж. Фокс, Кристофер Ллойд"
Олдбой,Корея Южная, триллер,Пак Чхан-ук,"Чхве Мин-щик, Ю Джи-тхэ"
Славные парни,США, драма,Мартин Скорсезе,"Роберт Де Ниро, Рэй Лиотта"
Загадочная история Бенджамина Баттона,США, драма,Дэвид Финчер,"Брэд Питт, Кейт Бланшетт"
Белое солнце пустыни,СССР, боевик,Владимир Мотыль,"Анатолий Кузнецов, Спартак Мишулин"
Граф Монте-Кристо,Франция, драма,Александр де Ла Пательер,"Пьер Нинэ, Пьерфранческо Фавино"
Брестская крепость,Беларусь, военный,Александр Котт,"Алексей Копашов, Андрей Мерзликин"
Джокер,США, драма,Тодд Филлипс,"Хоакин Феникс, Роберт Де Ниро"
Легенда №17,Россия, биография,Николай Лебедев,"Данила Козловский, Олег Меньшиков"
Приключения Реми,Франция, мелодрама,Антуан Блоссье,"Малом Пакуин, Даниель Отой"
Исчезнувшая,США, триллер,Дэвид Финчер,"Бен Аффлек, Розамунд Пайк"
Подольские курсанты,Россия, военный,Вадим Шмелев,"Алексей Бардуков, Евгений Дятлов"
Таксист,Корея Южная, история,Чан Хун,"Сон Кан-хо, Томас Кречман"
Мстители: Война бесконечности,США, фантастика,Энтони Руссо,"Роберт Дауни мл., Крис Хемсворт"
Жизнь других,Германия, триллер,Флориан Хенкель фон Доннерсмарк,"Ульрих  Мюэ, Себастьян Кох"
Твоё имя,Япония, аниме,Макото Синкай,"Рюносукэ Камики, Монэ Камисираиси"
Дневник памяти,США, драма,Ник Кассаветис,"Райан Гослинг, Рэйчел Макадамс"
Мимино,СССР, драма,Георгий Данелия,"Вахтанг Кикабидзе, Фрунзик Мкртчян"
Звёздные войны: Эпизод 3 – Месть ситхов,США, фантастика,Джордж Лукас,"Юэн Макгрегор, Натали Портман"
Вам и не снилось...,СССР, драма,Илья Фрэз,"Татьяна Аксюта, Никита Михайловский"
Охота,Дания, драма,Томас Винтерберг,"Мадс Миккельсен, Томас Бо Ларсен"
Век Адалин,США, драма,Ли Толанд Кригер,"Блейк Лайвли, Михил Хёйсман"
Апокалипсис сегодня,США, военный,Фрэнсис Форд Коппола,"Марлон Брандо, Мартин Шин"
Клаус,Испания, мультфильм,Серхио Паблос,"Джейсон Шварцман, Дж.К. Симмонс"
Иллюзионист,США, драма,Нил Бёргер,"Эдвард Нортон, Пол Джаматти"
Приключения Паддингтона 2,Великобритания, фэнтези,Пол Кинг,"Бен Уишоу, Хью Бонневилль"
Форсаж,США, боевик,Роб Коэн,"Пол Уокер, Вин Дизель"
Мотылёк,США, драма,Михаэль Ноер,"Чарли Ханнэм, Рами Малек"
